name,category,latitude,longitude,weight,source
Synthetic industrial area 22,industry,40.612760844206264,29.942194114993836,494,SYNTHETIC_DEMO
Synthetic hospital group 23,health,38.27606496615722,27.151290525832465,323,SYNTHETIC_DEMO
Synthetic shelter inventory 24,shelter,37.68864245276585,37.06996532174856,348,SYNTHETIC_DEMO
Synthetic transport node 25,transport,39.58440440488691,39.52420540446497,274,SYNTHETIC_DEMO
Synthetic metro population 26,population,41.23699230781941,29.295780221918246,1029,SYNTHETIC_DEMO
Synthetic industrial area 27,industry,40.9188677605841,29.870340716849064,560,SYNTHETIC_DEMO
Synthetic hospital group 28,health,38.543405193857325,27.08435374076577,266,SYNTHETIC_DEMO
Synthetic shelter inventory 29,shelter,37.46881173830976,36.63614845951783,783,SYNTHETIC_DEMO
Synthetic transport node 30,transport,39.78737451853582,39.69617668487452,339,SYNTHETIC_DEMO
Synthetic metro population 31,population,40.897185910466455,29.13009114569012,1430,SYNTHETIC_DEMO
Synthetic industrial area 32,industry,40.638104681103954,29.965209106254957,648,SYNTHETIC_DEMO
Synthetic hospital group 33,health,38.744667363515156,26.654898552063663,643,SYNTHETIC_DEMO
Synthetic shelter inventory 34,shelter,37.50756322417492,36.83848447625749,615,SYNTHETIC_DEMO
Synthetic transport node 35,transport,39.70246428329718,39.55355120326619,346,SYNTHETIC_DEMO
Synthetic metro population 36,population,40.96738655941954,29.178871842405066,1175,SYNTHETIC_DEMO
Synthetic industrial area 37,industry,40.87144642097526,30.18771093218622,418,SYNTHETIC_DEMO
Synthetic hospital group 38,health,38.41329915104227,27.310130352870125,371,SYNTHETIC_DEMO
Synthetic shelter inventory 39,shelter,37.80411121312887,36.890390413757125,306,SYNTHETIC_DEMO
Synthetic transport node 40,transport,39.66668311709759,39.544268423624814,416,SYNTHETIC_DEMO
Synthetic metro population 41,population,41.077551129951395,29.199395243614365,1159,SYNTHETIC_DEMO
Synthetic industrial area 42,industry,40.67286299583472,29.92420867119644,537,SYNTHETIC_DEMO
Synthetic hospital group 43,health,38.14455672302065,27.386051577244537,532,SYNTHETIC_DEMO
Synthetic shelter inventory 44,shelter,37.47556201961518,36.55527313850538,302,SYNTHETIC_DEMO
Synthetic transport node 45,transport,39.771025150141654,39.6085315947677,201,SYNTHETIC_DEMO
Synthetic metro population 46,population,40.8833223354145,28.919082358174606,1725,SYNTHETIC_DEMO
Synthetic industrial area 47,industry,40.59754405638692,29.70745773367059,422,SYNTHETIC_DEMO
Synthetic hospital group 48,health,38.21179029836557,27.41011713436354,312,SYNTHETIC_DEMO
Synthetic shelter inventory 49,shelter,37.69894713814245,36.85794102511968,607,SYNTHETIC_DEMO
Synthetic transport node 50,transport,39.91959913897206,39.38999672654469,422,SYNTHETIC_DEMO
Synthetic metro population 51,population,41.42352173978434,29.096882350588967,1086,SYNTHETIC_DEMO
Synthetic industrial area 52,industry,40.68978196526655,30.245562805084834,481,SYNTHETIC_DEMO
Synthetic hospital group 53,health,38.71232378394575,27.687033615098382,403,SYNTHETIC_DEMO
Synthetic shelter inventory 54,shelter,38.013086851717105,37.160948877728075,611,SYNTHETIC_DEMO
Synthetic transport node 55,transport,39.67695134599867,39.27552783404538,574,SYNTHETIC_DEMO
Synthetic metro population 56,population,41.03671450846949,28.289449314428374,856,SYNTHETIC_DEMO
Synthetic industrial area 57,industry,40.63869721803197,30.172017503165137,627,SYNTHETIC_DEMO
Synthetic hospital group 58,health,38.52955441966457,27.44646240301495,278,SYNTHETIC_DEMO
Synthetic shelter inventory 59,shelter,37.36117760760616,36.595758173946194,327,SYNTHETIC_DEMO
Synthetic transport node 60,transport,40.17534022867407,39.97502865400641,542,SYNTHETIC_DEMO
Synthetic metro population 61,population,41.04179673447263,29.07583835849057,1376,SYNTHETIC_DEMO
Synthetic industrial area 62,industry,40.75824600174439,30.08558764682252,898,SYNTHETIC_DEMO
Synthetic hospital group 63,health,38.550831494649934,27.538344491916817,476,SYNTHETIC_DEMO
Synthetic shelter inventory 64,shelter,37.40058048758231,36.512606168422266,828,SYNTHETIC_DEMO
Synthetic transport node 65,transport,39.638414709270975,39.82719367787143,218,SYNTHETIC_DEMO
Synthetic metro population 66,population,41.09995325539339,29.069870820244542,1460,SYNTHETIC_DEMO
Synthetic industrial area 67,industry,40.736773760453914,30.14117481013476,707,SYNTHETIC_DEMO
Synthetic hospital group 68,health,38.40908630163354,27.263309321771708,374,SYNTHETIC_DEMO
Synthetic shelter inventory 69,shelter,37.29530121272689,37.20339284488228,396,SYNTHETIC_DEMO
Synthetic transport node 70,transport,40.06759992918821,39.20987440344109,348,SYNTHETIC_DEMO
Synthetic metro population 71,population,41.34331411487339,28.83113154388312,787,SYNTHETIC_DEMO
Synthetic industrial area 72,industry,40.5547916173698,29.816914560029772,911,SYNTHETIC_DEMO
Synthetic hospital group 73,health,38.50290357485521,27.079997728346623,615,SYNTHETIC_DEMO
Synthetic shelter inventory 74,shelter,37.66996275943412,36.81623633110749,383,SYNTHETIC_DEMO
Synthetic transport node 75,transport,39.59840693549496,39.62003380572394,244,SYNTHETIC_DEMO
Synthetic metro population 76,population,40.99940331257354,29.057003842765862,948,SYNTHETIC_DEMO
Synthetic industrial area 77,industry,40.56568394907147,30.084389467151407,432,SYNTHETIC_DEMO
Synthetic hospital group 78,health,38.549492140626334,26.80801360984681,284,SYNTHETIC_DEMO
Synthetic shelter inventory 79,shelter,37.54503078856917,36.75020886739481,301,SYNTHETIC_DEMO
Synthetic transport node 80,transport,39.85842914809838,39.72302984432817,310,SYNTHETIC_DEMO
Synthetic metro population 81,population,41.191537595457504,29.158314629681016,1811,SYNTHETIC_DEMO
Synthetic industrial area 82,industry,40.7899886534923,29.968821951362436,470,SYNTHETIC_DEMO
Synthetic hospital group 83,health,38.43910093438922,27.145566872713076,424,SYNTHETIC_DEMO
Synthetic shelter inventory 84,shelter,37.739013532074935,36.89021980971719,808,SYNTHETIC_DEMO
Synthetic transport node 85,transport,39.849276087852544,39.21501637551463,315,SYNTHETIC_DEMO
Synthetic metro population 86,population,40.97609538758144,28.97043144681908,1372,SYNTHETIC_DEMO
Synthetic industrial area 87,industry,40.91966539693543,29.78431810079234,841,SYNTHETIC_DEMO
Synthetic hospital group 88,health,38.30432581018221,27.63449462366679,336,SYNTHETIC_DEMO
Synthetic shelter inventory 89,shelter,37.8027896845805,37.18591596944953,762,SYNTHETIC_DEMO
Synthetic transport node 90,transport,39.75458336629953,39.432065755840284,359,SYNTHETIC_DEMO
Synthetic metro population 91,population,41.06220531088895,28.774899845323592,1959,SYNTHETIC_DEMO
Synthetic industrial area 92,industry,40.87263709273677,29.743052753255323,872,SYNTHETIC_DEMO
Synthetic hospital group 93,health,38.42433862751769,27.350431608109346,327,SYNTHETIC_DEMO
Synthetic shelter inventory 94,shelter,37.543405238618206,36.87360005414809,554,SYNTHETIC_DEMO
Synthetic transport node 95,transport,39.63545927914394,39.53195882336356,317,SYNTHETIC_DEMO
Synthetic metro population 96,population,41.149265257333305,28.9455445888066,1101,SYNTHETIC_DEMO
Synthetic industrial area 97,industry,40.83749932378907,29.875963359263064,701,SYNTHETIC_DEMO
Synthetic hospital group 98,health,38.20883273493632,26.982597086646123,261,SYNTHETIC_DEMO
Synthetic shelter inventory 99,shelter,37.51021994052335,37.07913624399996,355,SYNTHETIC_DEMO
Synthetic transport node 100,transport,39.8644910536165,39.39223566195367,196,SYNTHETIC_DEMO
Synthetic metro population 101,population,40.97009969506391,29.103681586186582,1059,SYNTHETIC_DEMO
Synthetic industrial area 102,industry,40.839010132715195,29.95682945805727,677,SYNTHETIC_DEMO
Synthetic hospital group 103,health,38.72246680305377,27.320995987105018,441,SYNTHETIC_DEMO
Synthetic shelter inventory 104,shelter,37.529900764934354,36.95134451377857,335,SYNTHETIC_DEMO
Synthetic transport node 105,transport,39.88433070641097,38.99565188082172,476,SYNTHETIC_DEMO
Synthetic metro population 106,population,41.06656238495354,29.15035867392287,1015,SYNTHETIC_DEMO
Synthetic industrial area 107,industry,40.90230800349502,29.924132020122677,576,SYNTHETIC_DEMO
Synthetic hospital group 108,health,38.60070204993342,27.073692490147657,420,SYNTHETIC_DEMO
Synthetic shelter inventory 109,shelter,37.86161708260426,36.82697844013464,686,SYNTHETIC_DEMO
Synthetic transport node 110,transport,39.66904962672111,39.65198307442905,546,SYNTHETIC_DEMO
Synthetic metro population 111,population,41.07735848351973,29.049103152080402,1212,SYNTHETIC_DEMO
Synthetic industrial area 112,industry,40.792023895178446,29.850209934458768,655,SYNTHETIC_DEMO
Synthetic hospital group 113,health,38.13790746857616,27.018319866372693,328,SYNTHETIC_DEMO
Synthetic shelter inventory 114,shelter,37.80834513163009,37.01754378058734,397,SYNTHETIC_DEMO
Synthetic transport node 115,transport,39.36535635261029,39.45545425461453,507,SYNTHETIC_DEMO
Synthetic metro population 116,population,40.99564779575324,28.97833297558915,1680,SYNTHETIC_DEMO
Synthetic industrial area 117,industry,40.816913029062015,30.091793304692768,759,SYNTHETIC_DEMO
Synthetic hospital group 118,health,38.19917762732929,26.85157352315772,401,SYNTHETIC_DEMO
Synthetic shelter inventory 119,shelter,37.78074629350909,36.764543043480394,717,SYNTHETIC_DEMO
Synthetic transport node 120,transport,39.90844544996986,39.40572864034059,560,SYNTHETIC_DEMO
Synthetic metro population 121,population,40.97965902818598,28.941917207089368,1845,SYNTHETIC_DEMO
Synthetic industrial area 122,industry,40.765870132439815,29.474833815934723,522,SYNTHETIC_DEMO
Synthetic hospital group 123,health,38.69580179514325,27.185717697848474,553,SYNTHETIC_DEMO
Synthetic shelter inventory 124,shelter,37.377808886539164,37.13049420302258,737,SYNTHETIC_DEMO
Synthetic transport node 125,transport,39.755629966475645,39.275742746667085,368,SYNTHETIC_DEMO
Synthetic metro population 126,population,41.19089645699502,29.662051093742342,932,SYNTHETIC_DEMO
Synthetic industrial area 127,industry,40.81640570790181,29.943643531792613,556,SYNTHETIC_DEMO
Synthetic hospital group 128,health,38.44755487149877,27.30169246654527,243,SYNTHETIC_DEMO
Synthetic shelter inventory 129,shelter,37.507511626883165,36.68382353564157,722,SYNTHETIC_DEMO
Synthetic transport node 130,transport,39.67240967589591,39.85287054165877,301,SYNTHETIC_DEMO
Synthetic metro population 131,population,40.917955245444425,29.193623591279188,1290,SYNTHETIC_DEMO
Synthetic industrial area 132,industry,40.72782227093522,30.396663629368472,1147,SYNTHETIC_DEMO
Synthetic hospital group 133,health,38.143901250092576,27.049647145678076,441,SYNTHETIC_DEMO
Synthetic shelter inventory 134,shelter,37.3724456962504,37.04984004417762,468,SYNTHETIC_DEMO
Synthetic transport node 135,transport,39.88098415530468,38.995851650987916,514,SYNTHETIC_DEMO
Synthetic metro population 136,population,41.07924131904007,29.330348436851672,1596,SYNTHETIC_DEMO
Synthetic industrial area 137,industry,40.863668257961116,29.903873225447324,714,SYNTHETIC_DEMO
Synthetic hospital group 138,health,38.575912690390844,27.528324524061382,643,SYNTHETIC_DEMO
Synthetic shelter inventory 139,shelter,37.699815696081465,36.902970054779075,433,SYNTHETIC_DEMO
Synthetic transport node 140,transport,39.843676961009294,39.29374222490704,328,SYNTHETIC_DEMO
Synthetic metro population 141,population,40.9344132768433,29.05883322741561,1901,SYNTHETIC_DEMO
Synthetic industrial area 142,industry,40.964540965343765,29.68104228428943,525,SYNTHETIC_DEMO
Synthetic hospital group 143,health,38.53739469862844,27.120080311332117,440,SYNTHETIC_DEMO
Synthetic shelter inventory 144,shelter,37.93842611713692,36.99648278473379,509,SYNTHETIC_DEMO
Synthetic transport node 145,transport,39.67462020346157,39.55910010623056,442,SYNTHETIC_DEMO
Synthetic metro population 146,population,40.961721169476526,29.0127491499055,1482,SYNTHETIC_DEMO
Synthetic industrial area 147,industry,40.71721014096331,29.942937901033186,952,SYNTHETIC_DEMO
Synthetic hospital group 148,health,38.46107446035232,27.170015049700627,428,SYNTHETIC_DEMO
Synthetic shelter inventory 149,shelter,37.24577763310816,37.0157696145568,405,SYNTHETIC_DEMO
Synthetic transport node 150,transport,39.5398093085689,39.28731748373195,389,SYNTHETIC_DEMO
Synthetic metro population 151,population,40.870369678668744,29.33363654602631,1921,SYNTHETIC_DEMO
Synthetic industrial area 152,industry,40.834018307397756,30.041161809684525,662,SYNTHETIC_DEMO
Synthetic hospital group 153,health,38.33535366030552,27.539421772688492,412,SYNTHETIC_DEMO
Synthetic shelter inventory 154,shelter,37.53236856834197,36.701773969400634,315,SYNTHETIC_DEMO
Synthetic transport node 155,transport,39.50942395304959,39.59799982686653,227,SYNTHETIC_DEMO
Synthetic metro population 156,population,40.978011457802495,28.679296304844417,1567,SYNTHETIC_DEMO
Synthetic industrial area 157,industry,40.93159580175111,30.131205131087064,505,SYNTHETIC_DEMO
Synthetic hospital group 158,health,38.35764836535534,26.963567489523797,450,SYNTHETIC_DEMO
Synthetic shelter inventory 159,shelter,37.518000732756896,36.78313743471032,704,SYNTHETIC_DEMO
Synthetic transport node 160,transport,39.51393866127675,39.415911569015805,482,SYNTHETIC_DEMO
Synthetic metro population 161,population,40.858003834207665,28.50755031081826,1432,SYNTHETIC_DEMO
Synthetic industrial area 162,industry,40.908422969992024,29.92801043509028,1120,SYNTHETIC_DEMO
Synthetic hospital group 163,health,38.476728954803136,27.157497597914865,259,SYNTHETIC_DEMO
Synthetic shelter inventory 164,shelter,37.69731046751586,36.699142566281076,401,SYNTHETIC_DEMO
Synthetic transport node 165,transport,39.812740309109905,39.558516758366345,575,SYNTHETIC_DEMO
Synthetic metro population 166,population,41.33813628557379,28.862089249048037,1057,SYNTHETIC_DEMO
Synthetic industrial area 167,industry,40.69101277067295,29.689131547779454,683,SYNTHETIC_DEMO
Synthetic hospital group 168,health,38.20737450221074,26.9550723810802,587,SYNTHETIC_DEMO
Synthetic shelter inventory 169,shelter,37.406625301779435,36.90481751019123,281,SYNTHETIC_DEMO
Synthetic transport node 170,transport,40.23396900317878,39.270032535318855,512,SYNTHETIC_DEMO
Synthetic metro population 171,population,41.28988819276268,28.977948499977472,1937,SYNTHETIC_DEMO
Synthetic industrial area 172,industry,41.12175233357856,30.129067621998555,577,SYNTHETIC_DEMO
Synthetic hospital group 173,health,38.48488844530817,27.07876587359175,407,SYNTHETIC_DEMO
Synthetic shelter inventory 174,shelter,37.47082575615318,37.041265257781724,780,SYNTHETIC_DEMO
Synthetic transport node 175,transport,39.95743771753113,39.63195882496121,208,SYNTHETIC_DEMO
Synthetic metro population 176,population,40.994725405169426,29.007407927073597,875,SYNTHETIC_DEMO
Synthetic industrial area 177,industry,40.96825651916359,29.726316400986804,713,SYNTHETIC_DEMO
Synthetic hospital group 178,health,38.39029226574445,27.424773674745186,514,SYNTHETIC_DEMO
Synthetic shelter inventory 179,shelter,38.066280476588176,37.41405855034443,703,SYNTHETIC_DEMO
Synthetic transport node 180,transport,39.76415864580775,39.71955093343806,396,SYNTHETIC_DEMO
